YEAR,13_INFORMATION FOR RAINFALL
1883,1972.350230414704
1884,2746.543778801817
1885,2285.71428571425
1886,1695.852534562164
1887,2672.811059907806
1888,3050.691244239611
1889,2405.529953917017
1890,3013.824884792606
1891,2654.377880184304
1892,2497.695852534531
1893,2672.811059907806
1894,1861.751152073688
1895,1907.834101382445
1896,2525.345622119785
1897,1990.783410138207
1898,1815.668202764931
1899,1843.317972350185
1900,1612.903225806402
1901,2460.829493087525
1902,2414.746543778769
1903,2175.115207373234
1904,1889.400921658942
1905,1972.350230414704
1906,2359.447004608261
1907,2331.797235023007
1908,2064.516129032218
1909,1723.502304147418
1910,2285.71428571425
1911,1861.751152073688
1912,2175.115207373234
1913,2534.562211981536
1914,2175.115207373234
1915,1990.783410138207
1916,2267.281105990747
1917,2543.778801843288
1918,2101.382488479223
1919,2728.110599078314
1920,2516.129032258033
1921,2046.082949308715
1922,2700.46082949306
1923,2534.562211981536
1924,2294.930875576001
1925,2626.72811059905
1926,2718.894009216563
1927,1944.70046082945
1928,2046.082949308715
1929,2423.96313364052
1930,2165.898617511482
1931,2304.147465437753
1932,1944.70046082945
1933,2479.262672811028
1934,1907.834101382445
1935,1907.834101382445
1936,2092.165898617472
1937,1769.585253456175
1938,2239.631336405493
1939,2294.930875576001
1940,2350.230414746509
1941,2414.746543778769
1942,2470.046082949277
1943,2525.345622119785
1944,2580.645161290293
1945,2626.72811059905
1946,2617.511520737298
1947,2506.912442396282
1948,2129.032258064477
1949,2221.19815668199
1950,2442.396313364023
1951,2543.778801843288
1952,2258.064516128996
1953,2046.082949308715
1954,2267.281105990747
1955,2949.308755760347
1956,2949.308755760347
1957,2617.511520737298
1958,2691.244239631309
1959,2258.064516128996
1960,2110.599078340974
1961,1529.95391705064
1962,2258.064516128996
1963,2414.746543778769
1964,2368.663594470012
1965,2211.981566820239
1966,2110.599078340974
1967,2202.764976958488
1968,2193.548387096736
1969,2230.414746543742
1970,2672.811059907806
1971,3050.691244239611
1972,2930.875576036844
1973,2875.576036866336
1974,2866.359447004585
1975,2211.981566820239
1976,2414.746543778769
1977,2626.72811059905
1978,2331.797235023007
1979,1658.986175115158
1980,3235.023041474638
1981,3142.857142857125
1982,2672.811059907806
1983,2147.46543778798
1984,2285.71428571425
1985,2350.230414746509
1986,1963.133640552953
1987,1935.483870967699
1988,2027.649769585212
1989,1806.45161290318
1990,2700.46082949306
1991,2479.262672811028
1992,2737.327188940066
1993,2746.543778801817
1994,2470.046082949277
1995,3382.48847926266
1996,2930.875576036844
1997,2322.580645161255
1998,2801.843317972325
1999,3115.207373271871
2000,2746.543778801817
2001,2175.115207373234
2002,1953.917050691201
2003,3216.589861751136
2004,2857.142857142833
2005,2055.299539170466
2006,3059.907834101363
2007,2552.995391705039
2008,2368.663594470012
2009,1824.884792626683
2010,2092.165898617472
2011,2838.709677419331
2012,2718.894009216563
2013,1824.884792626683
2014,3023.041474654357
2015,2737.327188940066
2016,2322.580645161255
2017,2387.096774193515
2018,2387.096774193515
2019,2258.064516128996
