YEAR,13_INFORMATION FOR RAIN DAYS
1882,4.036613272311314
1883,4.100686498855936
1884,6.887871853546983
1885,9.162471395881056
1886,2.08237986270035
1887,5.221967963386817
1888,7.080091533180848
1889,7.080091533180848
1890,7.272311212814714
1891,10.15560640732269
1892,6.215102974828454
1893,6.215102974828454
1894,6.0549199084669
1895,2.370709382151148
1896,5.061784897025262
1897,6.183066361556143
1898,3.011441647597366
1899,5.061784897025262
1900,5.093821510297573
1901,5.510297482837615
1902,6.983981693363916
1903,6.215102974828454
1904,4.164759725400557
1905,1.826086956521863
1906,3.620137299771272
1907,4.036613272311314
1908,2.915331807780433
1909,1.345537757437199
1910,3.716247139588205
1911,5.189931350114506
1912,4.997711670480641
1913,4.997711670480641
1914,7.176201372997781
1915,6.887871853546983
1916,3.395881006865096
1917,4.645308924485221
1918,5.189931350114506
1919,3.075514874141987
1920,7.624713958810133
1921,11.40503432494282
1922,5.830663615560724
1923,7.240274599542403
1924,7.208237986270092
1925,5.958810068649967
1926,8.906178489702569
1927,12.36613272311214
1928,4.164759725400557
1929,5.414187643020682
1930,7.240274599542403
1931,4.677345537757532
1932,6.183066361556143
1933,3.716247139588205
1934,5.029748283752951
1935,4.549199084668288
1936,5.029748283752951
1937,4.164759725400557
1938,3.940503432494381
1939,5.029748283752951
1940,4.869565217391397
1941,4.805491990846775
1942,4.741418764302153
1943,4.61327231121291
1944,4.517162471395977
1945,4.421052631579045
1946,4.324942791762112
1947,4.164759725400557
1948,5.157894736842195
1949,5.189931350114506
1950,5.189931350114506
1951,5.189931350114506
1952,4.164759725400557
1953,4.132723112128247
1954,9.2906178489703
1955,9.32265446224261
1956,10.28375286041194
1957,10.34782608695656
1958,9.2906178489703
1959,9.32265446224261
1960,5.029748283752951
1961,6.0549199084669
1962,4.164759725400557
1963,2.050343249428039
1964,8.23340961098404
1965,8.297482837528662
1966,8.20137299771173
1967,5.862700228833035
1968,8.265446224256351
1969,4.132723112128247
1970,4.164759725400557
1971,10.44393592677349
1972,13.26315789473685
1973,8.329519450800973
1974,9.482837528604165
1975,9.130434782608745
1976,5.766590389016102
1977,7.240274599542403
1978,5.157894736842195
1979,6.0549199084669
1980,3.844393592677449
1981,7.720823798627066
1982,10.34782608695656
1983,6.215102974828454
1984,6.183066361556143
1985,7.240274599542403
1986,7.240274599542403
1987,7.240274599542403
1988,3.427917620137407
1989,6.183066361556143
1990,5.478260869565304
1991,4.100686498855936
1992,5.189931350114506
1993,6.151029748283833
1994,9.2906178489703
1995,9.32265446224261
1996,9.2906178489703
1997,9.32265446224261
1998,7.272311212814714
1999,7.208237986270092
2000,11.37299771167051
2001,11.37299771167051
2002,7.240274599542403
2003,7.240274599542403
2004,6.215102974828454
2005,13.45537757437071
2006,13.45537757437071
2007,11.37299771167051
2008,11.37299771167051
2009,5.189931350114506
2010,5.157894736842195
2011,2.08237986270035
2012,6.183066361556143
2013,13.4233409610984
2014,13.48741418764303
2015,7.240274599542403
2016,7.240274599542403
2017,7.240274599542403
2018,6.183066361556143
2019,8.23340961098404
