YEAR, CARBON DIOXIDE - SSP1-1.9, CARBON DIOXIDE - SSP1-2.6, CARBON DIOXIDE - SSP2-4.5, CARBON DIOXIDE - SSP3-7.0, CARBON DIOXIDE - SSP5-8.5
2018,,40.97560975609807,39.93808049535488,42.03076923076958,41.91950464396172
2019,,40.97560975609807,39.93808049535488,42.52307692307727,42.41486068111342
2020,,40.00000000000051,40.43343653250659,43.01538461538496,42.91021671826513
2021,,40.48780487804929,40.43343653250659,44.00000000000034,43.90092879256855
2022,,40.48780487804929,39.93808049535488,44.49230769230803,44.39628482972026
2023,,40.97560975609807,39.93808049535488,44.98461538461572,44.39628482972026
2024,,40.97560975609807,40.43343653250659,45.47692307692341,44.89164086687197
2025,40.7654320987664,40.97560975609807,40.9287925696583,46.46153846153879,45.38699690402368
2026,39.25925925926026,40.97560975609807,40.9287925696583,46.95384615384648,46.8730650154788
2027,37.28395061728497,40.97560975609807,41.42414860681001,47.93846153846187,47.86377708978222
2028,35.30864197530968,40.97560975609807,41.91950464396172,48.92307692307725,48.85448916408563
2029,33.82716049382822,40.48780487804929,41.91950464396172,49.90769230769263,49.84520123838905
2030,31.85185185185293,39.51219512195173,42.91021671826513,50.40000000000032,50.83591331269247
2031,29.87654320987764,39.02439024390296,43.40557275541684,50.89230769230801,52.32198142414759
2032,28.39506172839617,39.02439024390296,43.90092879256855,51.87692307692339,53.31269349845101
2033,26.41975308642088,38.0487804878054,44.39628482972026,52.36923076923108,53.31269349845101
2034,24.44444444444559,37.56097560975662,44.39628482972026,53.35384615384646,55.78947368420955
2035,22.96296296296413,37.07317073170785,44.39628482972026,53.84615384615415,57.27554179566468
2036,21.48148148148266,36.58536585365907,44.39628482972026,54.33846153846184,58.76160990711981
2037,20.00000000000119,36.09756097561029,44.39628482972026,55.32307692307722,60.24767801857493
2038,19.01234567901355,35.12195121951274,44.39628482972026,55.81538461538491,60.74303405572664
2039,17.53086419753208,34.14634146341518,44.39628482972026,56.30769230769261,62.22910216718176
2040,16.04938271605062,32.19512195122007,44.39628482972026,57.29230769230799,63.71517027863689
2041,15.06172839506297,32.19512195122007,44.39628482972026,57.78461538461568,65.20123839009202
2042,13.5802469135815,30.24390243902496,44.39628482972026,58.27692307692337,67.67801857585056
2043,12.59259259259386,30.73170731707374,44.39628482972026,58.76923076923106,69.16408668730568
2044,11.11111111111239,29.75609756097619,44.39628482972026,59.26153846153875,71.14551083591252
2045,10.12345679012475,28.78048780487863,44.39628482972026,60.24615384615413,72.63157894736764
2046,9.135802469137104,27.80487804878108,44.39628482972026,60.73846153846182,74.11764705882277
2047,8.14814814814946,26.82926829268352,43.90092879256855,60.73846153846182,75.6037151702779
2048,7.654320987655638,25.85365853658597,43.90092879256855,61.23076923076951,75.6037151702779
2049,6.666666666667993,25.36585365853719,43.90092879256855,61.7230769230772,78.08049535603644
2050,5.679012345680349,23.90243902439086,43.90092879256855,62.70769230769258,80.06191950464327
2051,4.691358024692704,23.41463414634208,43.90092879256855,63.20000000000027,81.5479876160984
2052,3.70370370370506,22.43902439024453,43.90092879256855,63.69230769230796,83.03405572755352
2053,3.209876543211237,21.46341463414697,43.40557275541684,63.69230769230796,84.52012383900865
2054,2.222222222223593,20.48780487804942,43.40557275541684,64.18461538461565,86.00619195046377
2055,2.222222222223593,19.51219512195186,42.91021671826513,64.67692307692334,87.9876160990706
2056,1.728395061729771,19.02439024390308,42.41486068111342,65.16923076923104,89.96904024767744
2057,1.234567901235948,18.04878048780553,42.41486068111342,65.16923076923104,90.46439628482915
2058,0.740740740742126,17.07317073170798,41.91950464396172,65.66153846153873,93.4365325077394
2059,0.740740740742126,16.5853658536592,41.42414860681001,66.15384615384642,93.93188854489111
2060,0.2469135802483038,15.60975609756164,40.9287925696583,66.6461538461541,96.90402476780136
2061,-0.2469135802455185,15.12195121951287,40.9287925696583,67.1384615384618,98.8854489164082
2062,-0.7407407407393407,14.14634146341531,40.43343653250659,67.1384615384618,100.866873065015
2063,-0.7407407407393407,12.1951219512202,39.93808049535488,67.63076923076949,102.3529411764702
2064,-1.234567901233163,12.1951219512202,39.44272445820317,68.12307692307718,104.334365325077
2065,-1.234567901233163,11.70731707317142,38.45201238389976,68.61538461538487,105.8204334365321
2066,-1.728395061726985,11.21951219512265,38.45201238389976,68.61538461538487,107.3065015479872
2067,-1.728395061726985,10.73170731707387,38.45201238389976,69.10769230769256,109.2879256965941
2068,-2.222222222220807,9.756097560976315,37.95665634674805,69.60000000000025,111.2693498452009
2069,-2.222222222220807,9.268292682927537,36.96594427244463,70.09230769230794,112.755417956656
2070,-2.71604938271463,8.78048780487876,35.97523219814121,70.09230769230794,114.2414860681112
2071,-2.71604938271463,7.804878048781205,35.47987616098951,70.58461538461563,116.222910216718
2072,-3.209876543208452,7.317073170732428,34.48916408668609,71.07692307692332,117.7089783281731
2073,-3.703703703702274,6.829268292683651,33.99380804953438,71.07692307692332,119.1950464396282
2074,-4.197530864196096,5.853658536586096,33.49845201238267,71.56923076923101,120.1857585139317
2075,-4.691358024689919,4.878048780488541,33.00309597523096,71.56923076923101,121.6718266253868
2076,-4.691358024689919,4.390243902439764,31.51702786377584,72.0615384615387,122.6625386996902
2077,-5.185185185183741,2.439024390244654,30.03095975232071,72.0615384615387,123.6532507739936
2078,-5.679012345677563,2.926829268293432,29.535603715169,72.5538461538464,125.1393188854487
2079,-6.172839506171385,1.951219512195877,28.54489164086559,72.5538461538464,126.6253869969039
2080,-6.172839506171385,1.463414634147099,27.55417956656217,73.04615384615408,127.6160990712073
2081,-6.666666666665208,0.4878048780495448,26.56346749225875,73.04615384615408,127.6160990712073
2082,-7.16049382715903,-0.48780487804801,25.57275541795534,73.53846153846177,129.1021671826624
2083,-7.654320987652852,-0.9756097560967874,24.58204334365192,74.03076923076947,129.5975232198141
2084,-7.654320987652852,-1.463414634145565,23.5913312693485,74.52307692307716,129.5975232198141
2085,-8.148148148146674,-2.439024390243119,22.10526315789338,75.50769230769254,129.5975232198141
2086,-8.641975308640497,-2.926829268291897,21.11455108358996,76.00000000000023,130.0928792569658
2087,-9.135802469134319,-3.414634146340674,20.12383900928654,76.49230769230792,130.0928792569658
2088,-9.135802469134319,-4.390243902438229,19.13312693498312,76.98461538461561,130.0928792569658
2089,-9.629629629628141,-4.878048780487006,17.647058823528,77.4769230769233,130.0928792569658
2090,-10.12345679012196,-5.365853658535784,16.65634674922458,77.96923076923099,130.5882352941175
2091,-10.61728395061579,-5.853658536584561,15.66563467492117,78.46153846153868,130.0928792569658
2092,-10.61728395061579,-5.853658536584561,15.17027863776946,78.95384615384637,130.0928792569658
2093,-11.11111111110961,-5.853658536584561,14.67492260061775,79.44615384615406,129.5975232198141
2094,-11.11111111110961,-5.853658536584561,13.68421052631433,79.93846153846175,129.1021671826624
2095,-11.60493827160343,-5.853658536584561,12.69349845201091,80.43076923076944,128.6068111455107
2096,-11.60493827160343,-5.853658536584561,12.19814241485921,80.92307692307713,128.6068111455107
2097,-12.09876543209725,-5.853658536584561,11.7027863777075,81.41538461538482,128.111455108359
2098,-12.09876543209725,-5.853658536584561,11.20743034055579,81.90769230769251,127.6160990712073
2099,-12.59259259259107,-5.853658536584561,9.721362229100663,82.4000000000002,127.1207430340556
