YEAR,30_CLIMATE CHANGE IN HONG KONG - RAINFALL.XLSX
1884,1981.900452488682
1885,2742.081447963797
1886,2289.592760180991
1887,1710.407239818998
1888,2669.683257918548
1889,3040.72398190045
1890,2407.239819004521
1891,3004.524886877825
1892,2651.583710407236
1893,2515.837104072394
1894,2669.683257918548
1895,1873.303167420809
1896,1918.552036199089
1897,2524.88687782805
1898,1999.999999999995
1899,1828.054298642528
1900,1855.203619909496
1901,1628.959276018093
1902,2461.538461538457
1903,2416.289592760177
1904,2180.995475113117
1905,1900.452488687777
1906,1981.900452488682
1907,2361.99095022624
1908,2334.841628959271
1909,2072.398190045244
1910,1737.556561085967
1911,2289.592760180991
1912,1873.303167420809
1913,2180.995475113117
1914,2533.936651583706
1915,2180.995475113117
1916,1999.999999999995
1917,2162.895927601805
1918,2542.986425339363
1919,2171.945701357461
1920,2723.981900452485
1921,2570.135746606331
1922,1972.850678733026
1923,2687.782805429861
1924,2570.135746606331
1925,2325.791855203615
1926,2579.185520361987
1927,2723.981900452485
1928,2180.995475113117
1929,1936.651583710402
1930,2425.339366515833
1931,2171.945701357461
1932,2307.692307692303
1933,1809.954751131216
1934,2479.63800904977
1935,2036.199095022619
1936,1855.203619909496
1937,2099.547511312212
1938,1366.515837104065
1939,2226.244343891398
1940,2289.592760180991
1941,2343.891402714928
1942,2407.239819004521
1943,2461.538461538457
1944,2515.837104072394
1945,2570.135746606331
1946,2615.384615384612
1947,2624.434389140268
1948,2515.837104072394
1949,2190.045248868773
1950,2144.796380090493
1951,2407.239819004521
1952,2542.986425339363
1953,2398.190045248864
1954,1610.859728506781
1955,2325.791855203615
1956,2244.34389140271
1957,2968.325791855201
1958,2226.244343891398
1959,2796.380090497734
1960,2361.99095022624
1961,2253.393665158366
1962,1819.004524886872
1963,1457.013574660627
1964,2425.339366515833
1965,2380.090497737552
1966,2398.190045248864
1967,1764.705882352935
1968,2271.493212669679
1969,1999.999999999995
1970,2334.841628959271
1971,2289.592760180991
1972,2914.027149321264
1973,3122.171945701355
1974,2506.787330316738
1975,3058.823529411762
1976,2334.841628959271
1977,2072.398190045244
1978,2624.434389140268
1979,2624.434389140268
1980,1773.755656108591
1981,2407.239819004521
1982,3230.769230769229
1983,2932.126696832576
1984,2099.547511312212
1985,2244.34389140271
1986,2352.941176470584
1987,2325.791855203615
1988,1782.805429864247
1989,1981.900452488682
1990,2045.248868778275
1991,2162.895927601805
1992,2696.832579185517
1993,2515.837104072394
1994,2733.031674208141
1995,2742.081447963797
1996,2823.529411764703
1997,3366.515837104071
1998,2624.434389140268
1999,2479.63800904977
2000,2923.07692307692
2001,3113.122171945699
2002,2515.837104072394
2003,1954.751131221714
2004,2615.384615384612
2005,3203.61990950226
2006,2660.633484162892
2007,2452.488687782801
2008,3040.72398190045
2009,2262.443438914022
2010,2371.040723981896
2011,1656.108597285061
2012,2434.389140271489
2013,2832.579185520359
2014,2606.334841628955
2015,2570.135746606331
2016,3013.574660633481
2017,2533.936651583706
2018,2244.34389140271
2019,2398.190045248864
2020,2380.090497737552
