YEAR, SP1-2.4, SPI-6
1980,2.611336032388681,-0.04451038575673749
1981,1.032388663967639,0.8753709198812558
1982,1.639676113360347,1.735905044510346
1983,3.825910931174097,1.706231454005895
1984,3.582995951417014,0.4599406528189363
1985,1.234817813765209,0.3412462908011307
1986,1.35627530364375,0.7566765578634502
1987,2.327935222672084,0.9050445103857072
1988,1.275303643724722,0.4005934718100335
1989,0.748987854251042,1.320474777448027
1990,0.6275303643725003,-0.07418397626118889
1991,-0.3036437246963191,0.6083086053411932
1992,1.720647773279375,1.913946587537055
1993,2.004048582995972,-0.01483679525228609
1994,0.7085020242915281,-1.172106824925891
1995,2.81376518218625,-0.2225519287834459
1996,4.190283400809722,0.3115727002966793
1997,3.5425101214575,0.519287833827839
1998,3.987854251012153,0.519287833827839
1999,3.825910931174097,0.4599406528189363
2000,2.246963562753056,0.7566765578634502
2001,2.81376518218625,-0.1038575667656403
2002,3.582995951417014,0.0148367952521653
2003,3.663967611336042,-0.1632047477745431
2004,1.720647773279375,0.0741839762610681
2005,1.032388663967639,0.4005934718100335
2006,3.178137651821875,0.3412462908011307
2007,3.866396761133611,-0.01483679525228609
2008,1.35627530364375,-0.04451038575673749
2009,2.327935222672084,-0.3115727002968001
2010,2.773279352226736,-0.6676557863502168
2011,1.437246963562778,-0.2225519287834459
2012,0.8299595141700697,0.667655786350096
2013,0.9514170040486114,1.409495548961381
2014,2.81376518218625,1.201780415430221
2015,3.097165991902847,0.9050445103857072
2016,1.477732793522292,0.7270029673589988
2017,2.206477732793542,-0.8160237388724738
2018,,-5.0
