YEAR,RCP2.6,RCP8.5
2005,,0.02879581151833388
2006,0.02356020942409309,0.03141361256545427
2007,0.02879581151833388,0.03403141361257467
2008,0.03141361256545427,0.03926701570681546
2009,0.03403141361257467,0.04188481675393585
2010,0.03926701570681546,0.04712041884817664
2011,0.04450261780105624,0.04973821989529703
2012,0.04712041884817664,0.05235602094241742
2013,0.04973821989529703,0.05759162303665821
2014,0.05497382198953782,0.062827225130899
2015,0.06020942408377861,0.0654450261780194
2016,0.0654450261780194,0.07068062827226018
2017,0.06806282722513979,0.07591623036650097
2018,0.07329842931938058,0.07853403141362136
2019,0.07853403141362136,0.08376963350786215
2020,0.08115183246074176,0.08900523560210294
2021,0.08638743455498255,0.09424083769634373
2022,0.09162303664922333,0.09947643979058451
2023,0.09685863874346412,0.1047120418848253
2024,0.1020942408377049,0.1099476439790661
2025,0.1073298429319457,0.1125654450261865
2026,0.1099476439790661,0.1178010471204273
2027,0.1151832460733069,0.1230366492146681
2028,0.1178010471204273,0.1308900523560292
2029,0.1230366492146681,0.1335078534031496
2030,0.1256544502617885,0.1413612565445108
2031,0.1335078534031496,0.1439790575916312
2032,0.1387434554973904,0.149214659685872
2033,0.1413612565445108,0.1570680628272332
2034,0.1465968586387516,0.162303664921474
2035,0.1518324607329924,0.1675392670157148
2036,0.1570680628272332,0.1753926701570759
2037,0.1596858638743536,0.1806282722513167
2038,0.1649214659685944,0.1858638743455575
2039,0.1701570680628351,0.1937172774869187
2040,0.1753926701570759,0.1963350785340391
2041,0.1806282722513167,0.2041884816754003
2042,0.1832460732984371,0.2120418848167615
2043,0.1884816753926779,0.2172774869110022
2044,0.1937172774869187,0.222513089005243
2045,0.1989528795811595,0.2329842931937246
2046,0.2015706806282799,0.2382198952879654
2047,0.2094240837696411,0.2460732984293266
2048,0.2120418848167615,0.2539267015706878
2049,0.2172774869110022,0.2617801047120489
2050,0.222513089005243,0.2670157068062897
2051,0.2277486910994838,0.2748691099476509
2052,0.2303664921466042,0.2827225130890121
2053,0.235602094240845,0.2905759162303733
2054,0.2408376963350858,0.2984293193717344
2055,0.2460732984293266,0.3036649214659752
2056,0.248691099476447,0.3141361256544568
2057,0.2539267015706878,0.3246073298429384
2058,0.2617801047120489,0.3298429319371792
2059,0.2643979057591693,0.3403141361256607
2060,0.2696335078534101,0.3455497382199015
2061,0.2722513089005305,0.3560209424083831
2062,0.2774869109947713,0.3664921465968647
2063,0.2827225130890121,0.3717277486911055
2064,0.2879581151832529,0.3848167539267074
2065,0.2931937172774937,0.3926701570680686
2066,0.2958115183246141,0.4005235602094298
2067,0.3036649214659752,0.4109947643979114
2068,0.3062827225130956,0.421465968586393
2069,0.3115183246073364,0.4293193717277541
2070,0.3167539267015772,0.4397905759162357
2071,0.3193717277486976,0.4502617801047173
2072,0.3272251308900588,0.4581151832460785
2073,0.3324607329842996,0.46858638743456
2074,0.33507853403142,0.4790575916230416
2075,0.3376963350785404,0.4869109947644028
2076,0.3429319371727811,0.4973821989528844
2077,0.3455497382199015,0.507853403141366
2078,0.3507853403141423,0.5183246073298475
2079,0.3560209424083831,0.5287958115183291
2080,0.3612565445026239,0.5366492146596903
2081,0.3638743455497443,0.5471204188481719
2082,0.3691099476439851,0.5602094240837738
2083,0.3743455497382259,0.568062827225135
2084,0.3769633507853463,0.581151832460737
2085,0.3821989528795871,0.594240837696339
2086,0.3874345549738278,0.6020942408377001
2087,0.3926701570680686,0.6151832460733021
2088,0.395287958115189,0.6256544502617837
2089,0.4005235602094298,0.6335078534031449
2090,0.4057591623036706,0.6492146596858672
2091,0.408376963350791,0.6596858638743488
2092,0.4136125654450318,0.6701570680628304
2093,0.4188481675392726,0.6832460732984323
2094,0.4240837696335134,0.6963350785340343
2095,0.4267015706806337,0.7068062827225159
2096,0.4319371727748745,0.7198952879581179
2097,0.4371727748691153,0.7329842931937198
2098,,0.740837696335081
